policy_id,policy_title,category,policy_owner,approved_by,version,status,classification,effective_date,next_review_date,target_pages,related_policies,applicable_departments
HR-001,Employee Handbook,HR & People,Chief People Officer,Chief Executive Officer,3.0,Approved,Internal,01 January 2026,01 January 2027,18–30,"HR-002, HR-003, HR-004, HR-005, HR-006, HR-007, HR-008, HR-009, HR-010, HR-011, HR-012, SEC-001, SEC-006",All employees
HR-002,Code of Conduct,HR & People,Chief People Officer,Chief Executive Officer,2.1,Approved,Internal,15 March 2026,15 March 2027,20–30,"HR-001, HR-007, HR-008, LEGAL-001, LEGAL-002, LEGAL-003, LEGAL-004, SEC-006","All employees, contractors, and third-party personnel"
HR-003,Leave and Time Off Policy,HR & People,VP Human Resources,Chief People Officer,2.3,Approved,Internal,01 April 2026,01 April 2027,12–20,"HR-001, HR-004, HR-005, HR-009",All full-time and contract employees
HR-004,Attendance and Working Hours Policy,HR & People,VP Human Resources,Chief People Officer,1.3,Approved,Internal,15 February 2026,15 February 2027,10–18,"HR-001, HR-003, HR-005, HR-009",All employees
HR-005,Remote and Hybrid Work Policy,HR & People,Chief People Officer,Chief Executive Officer,2.0,Approved,Internal,01 June 2026,01 June 2027,16–24,"HR-001, HR-004, HR-006, SEC-001, SEC-006, SEC-007, SEC-010, DATA-004, DATA-008, ENG-002",All employees eligible for remote work
HR-006,Employee Privacy Policy,HR & People,Chief People Officer,Chief Legal Officer,2.1,Approved,Confidential,01 May 2026,01 May 2027,18–28,"HR-001, DATA-001, DATA-002, DATA-003, DATA-006, LEGAL-006, SEC-005",All employees
HR-007,Anti-Harassment and Equal Opportunity Policy,HR & People,Chief People Officer,Chief Executive Officer,2.0,Approved,Internal,01 March 2026,01 March 2027,18–28,"HR-001, HR-002, HR-008, LEGAL-004, LEGAL-007","All employees, contractors, and third-party personnel"
HR-008,Employee Grievance and Disciplinary Policy,HR & People,VP Human Resources,Chief People Officer,2.2,Approved,Internal,01 July 2026,01 July 2027,18–28,"HR-001, HR-002, HR-007, LEGAL-004, LEGAL-007",All employees
HR-009,Performance Management Policy,HR & People,VP Human Resources,Chief People Officer,2.0,Approved,Internal,01 April 2026,01 April 2027,15–25,"HR-001, HR-003, HR-008, HR-010",All full-time employees
HR-010,Learning and Development Policy,HR & People,VP Human Resources,Chief People Officer,1.2,Approved,Internal,15 May 2026,15 May 2027,12–20,"HR-001, HR-009, FIN-001, SEC-001",All employees
HR-011,Recruitment and Background Verification Policy,HR & People,VP Human Resources,Chief People Officer,2.1,Approved,Confidential,01 June 2026,01 June 2027,14–24,"HR-001, HR-006, HR-012, DATA-001, LEGAL-007","HR, Hiring Managers, all candidates"
HR-012,Onboarding and Offboarding Policy,HR & People,VP Human Resources,Chief People Officer,2.0,Approved,Internal,01 August 2026,01 August 2027,14–24,"HR-001, HR-011, SEC-001, SEC-002, SEC-003, ENG-009, DATA-002","All employees, HR, IT, managers"
SEC-001,Information Security Policy,Information Security,Chief Information Security Officer,Chief Executive Officer,3.0,Approved,Internal,01 January 2026,01 January 2027,30–45,"SEC-002, SEC-003, SEC-004, SEC-005, SEC-006, SEC-007, SEC-008, SEC-009, SEC-010, SEC-011, SEC-012, DATA-001, DATA-005, DATA-007, ENG-001, ENG-006, CORP-001","All employees, contractors, and third-party personnel"
SEC-002,Access Control Policy,Information Security,Chief Information Security Officer,Chief Technology Officer,2.3,Approved,Confidential,01 March 2026,01 March 2027,20–35,"SEC-001, SEC-003, SEC-004, SEC-010, ENG-002, ENG-007, HR-012","All employees, contractors, IT personnel"
SEC-003,Password and Authentication Policy,Information Security,Head of IT & Security,Chief Information Security Officer,2.1,Approved,Internal,15 February 2026,15 February 2027,15–25,"SEC-001, SEC-002, SEC-004, SEC-006, SEC-010, HR-012",All employees and contractors
SEC-004,Multi-Factor Authentication Policy,Information Security,Head of IT & Security,Chief Information Security Officer,1.2,Approved,Internal,01 April 2026,01 April 2027,12–20,"SEC-001, SEC-002, SEC-003, SEC-010",All employees and contractors
SEC-005,Data Classification and Handling Policy,Information Security,Chief Information Security Officer,Chief Executive Officer,2.0,Approved,Internal,01 May 2026,01 May 2027,22–35,"SEC-001, SEC-006, SEC-009, DATA-001, DATA-004, DATA-007, DATA-008, AI-002, AI-003, ENG-001, LEGAL-006","All employees, contractors, and third-party personnel"
SEC-006,Acceptable Use Policy,Information Security,Head of IT & Security,Chief Information Security Officer,2.2,Approved,Internal,01 February 2026,01 February 2027,18–28,"SEC-001, SEC-003, SEC-005, SEC-007, SEC-009, HR-001, HR-002, AI-002","All employees, contractors, and third-party personnel"
